,name,distance,mass,radius,lum,,star_name,distance,mass,radius
79,UY Scuti,"05,100",7–10,755,"86,300 - 87,100",79,SDSS J074201.41+205520.5 [de],49,43,0.94
80,Barnard's Star,05.98,0.14,0.20,0.0035,80,2MASS J0746425+200032 [fr],49.6,,
81,Luhman 16,06.52,0.04,?,?,81,DENIS-P J0751164-253043 [de],55,71,1.03
82,Proxima Centauri,04.25,0.12,0.15,0.0017,82,2MASS J07522390+1612157,60,68,2.01
83,KIC 8462852,"01,470",1.43,1.58,4.68,83,DENIS J081730.0-615520,16.1,44,0.94
84,R136a1,"0163,000",290,32,"8,710,000",84,DENIS J082303.1−491201A,67,44,
85,Melnick 42,"0163,000",189,21.1,"3,600,000",85,DENIS J082303.1−491201B,67,28,
86,WR 102,"018,134",19,0.39,"282,000",86,2MASS J08251968+2115521 [de],35,52,0.98
87,VFTS 352,"0164,000",57.48,14.47,"330,000",87,SDSSp J083008.12+482847.4 [de],43,48,0.99
88,YBP 1194,"02,772",1.01,0.99,0.98,88,LHS 2021,55,88,1.15
89,Gliese 1214,047.5,0.16,0.21,0.0033,89,SDSS J083048.80+012831.1 [de],77,46,0.96
90,NML Cygni,"05,251",50,"1,640 - 2,770","229,000",90,2MASSI J0835425-081923 [de],23.53,62,1.00
91,VB 10,018.72,0.075,0.10,0.0004,91,2MASSI J0847287-153237 [de],43,64,1.00
92,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000",92,2MASS J08533619-0329321,27.6,77,1.07
93,TRAPPIST-1,039.6,0.089,0.12,0.0005,93,2MASSI J0859254-194926 [de],50,50,0.98
94,2MASS J0523-1403,040.3,0.07,0.086,0.00013,94,2MASSW J0920122+351742 [de],95,,
95,WISE 0855−0714,07.27,0.003,?,?,95,2MASSI J0937347+293142,20.0,42,0.94
96,Icarus,"014,400,000,000",33,?,"850,000",96,2MASS 0939−2448,17.4,32,0.95
